CommID,ID,CommiteeName
C1,427520,Disarmament & International Security
C1,427521,Disarmament & International Security
C1,427522,Disarmament & International Security
C1,427523,Disarmament & International Security
C1,427524,Disarmament & International Security
C1,427525,Disarmament & International Security
C1,427526,Disarmament & International Security
C1,427527,Disarmament & International Security
C1,427528,Disarmament & International Security
C1,427529,Disarmament & International Security
C1,427531,Disarmament & International Security
C1,427532,Disarmament & International Security
C1,427533,Disarmament & International Security
C1,427534,Disarmament & International Security
C1,427535,Disarmament & International Security
C1,427536,Disarmament & International Security
C1,427537,Disarmament & International Security
C1,427538,Disarmament & International Security
C1,427539,Disarmament & International Security
C1,427812,Disarmament & International Security
C1,427819,Disarmament & International Security
C1,427864,Disarmament & International Security
C1,427865,Disarmament & International Security
C1,427866,Disarmament & International Security
C1,427867,Disarmament & International Security
C1,427868,Disarmament & International Security
C1,427876,Disarmament & International Security
C1,427882,Disarmament & International Security
C1,427884,Disarmament & International Security
C1,427921,Disarmament & International Security
C1,427925,Disarmament & International Security
C1,427931,Disarmament & International Security
C1,427939,Disarmament & International Security
C1,427951,Disarmament & International Security
C1,427963,Disarmament & International Security
C1,427970,Disarmament & International Security
C1,427975,Disarmament & International Security
C1,427985,Disarmament & International Security
C1,427986,Disarmament & International Security
C1,427990,Disarmament & International Security
C1,427995,Disarmament & International Security
C1,427998,Disarmament & International Security
C1,427999,Disarmament & International Security
C1,428032,Disarmament & International Security
C1,428036,Disarmament & International Security
C1,428040,Disarmament & International Security
C1,428051,Disarmament & International Security
C3,428793,"Social, Humanitarian & Cultural"
C3,428794,"Social, Humanitarian & Cultural"
C3,428795,"Social, Humanitarian & Cultural"
C3,428797,"Social, Humanitarian & Cultural"
C3,428798,"Social, Humanitarian & Cultural"
C3,428799,"Social, Humanitarian & Cultural"
C3,428800,"Social, Humanitarian & Cultural"
C3,428801,"Social, Humanitarian & Cultural"
C3,428802,"Social, Humanitarian & Cultural"
C3,428803,"Social, Humanitarian & Cultural"
C3,428804,"Social, Humanitarian & Cultural"
C3,428805,"Social, Humanitarian & Cultural"
C3,428806,"Social, Humanitarian & Cultural"
C3,428807,"Social, Humanitarian & Cultural"
C3,428906,"Social, Humanitarian & Cultural"
C3,428908,"Social, Humanitarian & Cultural"
C3,428910,"Social, Humanitarian & Cultural"
C3,428912,"Social, Humanitarian & Cultural"
C3,428965,"Social, Humanitarian & Cultural"
C3,428967,"Social, Humanitarian & Cultural"
C3,428975,"Social, Humanitarian & Cultural"
C3,428979,"Social, Humanitarian & Cultural"
C3,428988,"Social, Humanitarian & Cultural"
C3,428990,"Social, Humanitarian & Cultural"
C3,428991,"Social, Humanitarian & Cultural"
C3,428992,"Social, Humanitarian & Cultural"
C3,429012,"Social, Humanitarian & Cultural"
C3,429014,"Social, Humanitarian & Cultural"
C3,429016,"Social, Humanitarian & Cultural"
C3,429017,"Social, Humanitarian & Cultural"
C3,429019,"Social, Humanitarian & Cultural"
C3,429022,"Social, Humanitarian & Cultural"
C3,429023,"Social, Humanitarian & Cultural"
C3,429024,"Social, Humanitarian & Cultural"
C3,429025,"Social, Humanitarian & Cultural"
C3,429066,"Social, Humanitarian & Cultural"
C3,429070,"Social, Humanitarian & Cultural"
C3,429071,"Social, Humanitarian & Cultural"
C3,429072,"Social, Humanitarian & Cultural"
C3,429073,"Social, Humanitarian & Cultural"
C3,429075,"Social, Humanitarian & Cultural"
C3,429076,"Social, Humanitarian & Cultural"
C3,429077,"Social, Humanitarian & Cultural"
C3,429078,"Social, Humanitarian & Cultural"
C3,429093,"Social, Humanitarian & Cultural"
C3,429094,"Social, Humanitarian & Cultural"
C3,429095,"Social, Humanitarian & Cultural"
C3,429096,"Social, Humanitarian & Cultural"
C3,429125,"Social, Humanitarian & Cultural"
C3,429128,"Social, Humanitarian & Cultural"
C3,429130,"Social, Humanitarian & Cultural"
C4,429139,Special Political & Decolonization
C4,429140,Special Political & Decolonization
C4,429141,Special Political & Decolonization
C4,429142,Special Political & Decolonization
C4,429143,Special Political & Decolonization
C4,429144,Special Political & Decolonization
C4,429145,Special Political & Decolonization
C4,429146,Special Political & Decolonization
C4,429147,Special Political & Decolonization
C4,429148,Special Political & Decolonization
C4,429149,Special Political & Decolonization
C3,429203,"Social, Humanitarian & Cultural"
C3,429207,"Social, Humanitarian & Cultural"
C3,429209,"Social, Humanitarian & Cultural"
C3,429211,"Social, Humanitarian & Cultural"
C3,429213,"Social, Humanitarian & Cultural"
C3,429214,"Social, Humanitarian & Cultural"
C3,429219,"Social, Humanitarian & Cultural"
C3,429220,"Social, Humanitarian & Cultural"
C3,429254,"Social, Humanitarian & Cultural"
C3,429255,"Social, Humanitarian & Cultural"
C3,429256,"Social, Humanitarian & Cultural"
C4,429277,Special Political & Decolonization
C4,429283,Special Political & Decolonization
C4,429284,Special Political & Decolonization
C4,429293,Special Political & Decolonization
C6,429344,Legal
C6,429359,Legal
C6,429360,Legal
C6,429361,Legal
C4,429376,Special Political & Decolonization
C4,429377,Special Political & Decolonization
C4,429379,Special Political & Decolonization
C6,429385,Legal
C6,429386,Legal
C6,429388,Legal
C6,429390,Legal
C6,429392,Legal
C6,429397,Legal
C6,429398,Legal
C6,429399,Legal
C6,429400,Legal
C6,429403,Legal
C5,429858,Administrative & Budgetary
C2,429936,Economic & Financial
C2,430313,Economic & Financial
C2,430317,Economic & Financial
C2,430319,Economic & Financial
C2,430326,Economic & Financial
C2,430327,Economic & Financial
C2,430334,Economic & Financial
C2,430335,Economic & Financial
C2,430336,Economic & Financial
C2,430338,Economic & Financial
C2,430340,Economic & Financial
C2,430357,Economic & Financial
C2,430361,Economic & Financial
C2,430364,Economic & Financial
C2,430366,Economic & Financial
C2,430368,Economic & Financial
C2,430373,Economic & Financial
C2,430377,Economic & Financial
C2,430380,Economic & Financial
C2,430381,Economic & Financial
C2,430382,Economic & Financial
C2,430395,Economic & Financial
C2,430396,Economic & Financial
C2,430397,Economic & Financial
C2,430398,Economic & Financial
C2,430399,Economic & Financial
C2,430401,Economic & Financial
C2,430402,Economic & Financial
C2,430403,Economic & Financial
C2,430478,Economic & Financial
C2,430479,Economic & Financial
C2,430480,Economic & Financial
C2,430481,Economic & Financial
C2,430482,Economic & Financial
C3,430546,"Social, Humanitarian & Cultural"
C5,430568,Administrative & Budgetary
C5,430570,Administrative & Budgetary
C5,430572,Administrative & Budgetary
C5,430575,Administrative & Budgetary
C5,430576,Administrative & Budgetary
C5,430583,Administrative & Budgetary
C5,430584,Administrative & Budgetary
C5,430585,Administrative & Budgetary
C5,430586,Administrative & Budgetary
C5,430587,Administrative & Budgetary
C5,430620,Administrative & Budgetary
C5,430736,Administrative & Budgetary
C5,430737,Administrative & Budgetary
C5,430738,Administrative & Budgetary
C5,430739,Administrative & Budgetary
C5,430753,Administrative & Budgetary
C5,430755,Administrative & Budgetary
C5,430756,Administrative & Budgetary
C5,430757,Administrative & Budgetary
C5,431241,Administrative & Budgetary
C5,431242,Administrative & Budgetary
C5,431243,Administrative & Budgetary
C5,431244,Administrative & Budgetary
C5,431245,Administrative & Budgetary
C5,437811,Administrative & Budgetary
C5,437814,Administrative & Budgetary
C5,437962,Administrative & Budgetary
C5,437964,Administrative & Budgetary
C5,437967,Administrative & Budgetary
C5,437970,Administrative & Budgetary
C5,437972,Administrative & Budgetary
C5,437973,Administrative & Budgetary
C5,442542,Administrative & Budgetary
C5,442548,Administrative & Budgetary
C5,442556,Administrative & Budgetary
C5,442557,Administrative & Budgetary
C5,442559,Administrative & Budgetary
C5,442562,Administrative & Budgetary
C5,442567,Administrative & Budgetary
C5,442569,Administrative & Budgetary
C5,442636,Administrative & Budgetary
C5,442640,Administrative & Budgetary
C5,442646,Administrative & Budgetary
C5,442653,Administrative & Budgetary
C5,442664,Administrative & Budgetary
C5,442670,Administrative & Budgetary
C5,442674,Administrative & Budgetary
C5,442684,Administrative & Budgetary
C5,442688,Administrative & Budgetary
C5,442692,Administrative & Budgetary
C5,442695,Administrative & Budgetary
C5,442728,Administrative & Budgetary
C5,442731,Administrative & Budgetary
C5,442781,Administrative & Budgetary
C5,442961,Administrative & Budgetary
C5,447842,Administrative & Budgetary
C5,447860,Administrative & Budgetary
C1,453646,Disarmament & International Security
C1,453648,Disarmament & International Security
C1,453659,Disarmament & International Security
C1,453660,Disarmament & International Security
C1,453661,Disarmament & International Security
C1,453663,Disarmament & International Security
C1,453666,Disarmament & International Security
C1,453713,Disarmament & International Security
C1,453721,Disarmament & International Security
C1,453722,Disarmament & International Security
C1,453723,Disarmament & International Security
C1,453724,Disarmament & International Security
C1,453725,Disarmament & International Security
C1,453726,Disarmament & International Security
C1,453727,Disarmament & International Security
C1,453728,Disarmament & International Security
C1,453731,Disarmament & International Security
C1,453733,Disarmament & International Security
C1,453735,Disarmament & International Security
C1,453736,Disarmament & International Security
C1,453738,Disarmament & International Security
C1,453740,Disarmament & International Security
C1,453748,Disarmament & International Security
C1,453762,Disarmament & International Security
C1,453765,Disarmament & International Security
C1,453766,Disarmament & International Security
C1,453767,Disarmament & International Security
C1,453852,Disarmament & International Security
C1,453853,Disarmament & International Security
C1,453854,Disarmament & International Security
C1,453856,Disarmament & International Security
C1,453859,Disarmament & International Security
C1,453944,Disarmament & International Security
C1,453945,Disarmament & International Security
C1,453946,Disarmament & International Security
C4,454226,Special Political & Decolonization
C4,454228,Special Political & Decolonization
C4,454229,Special Political & Decolonization
C4,454253,Special Political & Decolonization
C4,454254,Special Political & Decolonization
C4,454255,Special Political & Decolonization
C4,454256,Special Political & Decolonization
C4,454257,Special Political & Decolonization
C4,454263,Special Political & Decolonization
C4,454271,Special Political & Decolonization
C4,454275,Special Political & Decolonization
C4,454280,Special Political & Decolonization
C4,454283,Special Political & Decolonization
C4,454287,Special Political & Decolonization
C4,454303,Special Political & Decolonization
C4,454304,Special Political & Decolonization
C6,454431,Legal
C6,454432,Legal
C6,454434,Legal
C6,454435,Legal
C6,454437,Legal
C6,454451,Legal
C6,454454,Legal
C6,454462,Legal
C6,454468,Legal
C6,454469,Legal
C6,454474,Legal
C6,454481,Legal
C6,454483,Legal
C6,454484,Legal
C6,454485,Legal
C6,454486,Legal
C3,454775,"Social, Humanitarian & Cultural"
C3,454776,"Social, Humanitarian & Cultural"
C3,454777,"Social, Humanitarian & Cultural"
C3,454778,"Social, Humanitarian & Cultural"
C3,454779,"Social, Humanitarian & Cultural"
C3,454783,"Social, Humanitarian & Cultural"
C3,454789,"Social, Humanitarian & Cultural"
C3,454814,"Social, Humanitarian & Cultural"
C3,454821,"Social, Humanitarian & Cultural"
C3,454822,"Social, Humanitarian & Cultural"
C3,454825,"Social, Humanitarian & Cultural"
C3,454826,"Social, Humanitarian & Cultural"
C3,454829,"Social, Humanitarian & Cultural"
C3,454845,"Social, Humanitarian & Cultural"
C3,454848,"Social, Humanitarian & Cultural"
C6,454899,Legal
C3,455010,"Social, Humanitarian & Cultural"
C3,455014,"Social, Humanitarian & Cultural"
C3,455015,"Social, Humanitarian & Cultural"
